REMISION,FECHA,CLIENTE,PROYECTO,PRODUCTO,M3, P.U , UNIDAD , OPERADOR , PLANTA  
3214,2/3/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,112, $360.00 ,BP02,PRAXEDIS,P002
3215,2/3/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,11, $360.00 ,BP02,PRAXEDIS,P002
3168,2/3/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,8, $360.00 ,BP01,FEDERICO,P002
3182,2/4/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,8, $360.00 ,BP01,FEDERICO,P002
3216,2/4/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,20, $360.00 ,BP02,PRAXEDIS,P002
3217,2/4/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,26, $360.00 ,BP02,PRAXEDIS,P002
3218,2/5/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,15, $360.00 ,BP02,PRAXEDIS,P002
3219,2/5/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,6, $360.00 ,BP02,PRAXEDIS,P002
3220,2/5/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,15, $360.00 ,BP02,PRAXEDIS,P002
3183,2/6/26,JESUS OCHOA,JESUS OCHOA,SERVICIO DE BOMBEO,15, $350.00 ,BP01,FEDERICO/VICTOR ,P002
3184,2/6/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP01,FEDERICO-VICTOR,P002
3185,2/6/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,14, $360.00 ,BP01,FEDERICO,P002
3221,2/6/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,13, $360.00 ,BP02,PRAXEDIS,P002
3222,2/7/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,21, $360.00 ,BP02,PRAXEDIS,P002
3223,2/7/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,18, $360.00 ,BP02,PRAXEDIS,P002
3224,2/7/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,9, $360.00 ,BP02,PRAXEDIS,P002
3225,2/7/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,5.5, $360.00 ,BP02,PRAXEDIS,P002
3186,2/7/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,41, $360.00 ,BP01,FEDERICO-VICTOR,P002
3187,2/7/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,12.5, $360.00 ,BP01,FEDERICO-VICTOR,P002
3188,2/8/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,113, $360.00 ,BP01,FEDERICO,P002
3190,2/9/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,16, $360.00 ,BP01,FEDERICO,P002
3191,2/9/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,39, $360.00 ,BP01,FEDERICO,P002
3192,2/9/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,19, $360.00 ,BP01,FEDERICO,P002
3189,2/9/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO,P002
3194,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,5.5, $360.00 ,BP01,FEDERICO-VICTOR,P002
3238,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,11, $360.00 ,RENTADA,,P002
3239,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,31, $360.00 ,RENTADA,,P002
3237,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,16, $360.00 ,RENTADA,,P002
3236,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,9.5, $360.00 ,RENTADA,,P002
3051,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,14, $360.00 ,RENTADA,,P002
3193,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO,P002
3195,2/10/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,49, $360.00 ,BP01,FEDERICO,P002
3198,2/11/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,112, $360.00 ,BP01,FEDERICO-VICTOR,P002
3196,2/11/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,17.5, $360.00 ,BP01,FEDERICO-VICTOR,P002
3199,2/12/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,73, $360.00 ,BP01,FEDERICO-VICTOR,P002
3200,2/12/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,14, $360.00 ,BP01,FEDERICO-VICTOR,P002
3226,2/13/26,JESUS OCHOA,JESUS OCHOA,SERVICIO DE BOMBEO,15, $350.00 ,BP01,FEDERICO,P002
3229,2/13/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,9, $360.00 ,BP01,FEDERICO-VICTOR,P002
3227,2/13/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO,P002
3228,2/13/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,21, $360.00 ,BP01,FEDERICO-VICTOR,P002
3230,2/14/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,108, $360.00 ,BP01,FEDERICO-VICTOR,P002
3231,2/14/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,2, $360.00 ,BP01,FEDERICO-VICTOR,P002
3232,2/14/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,112, $360.00 ,BP01,FEDERICO-VICTOR,P002
3233,2/15/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO,P002
3234,2/15/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,48, $360.00 ,BP01,FEDERICO,P002
3053,2/17/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,21, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3243,2/18/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,116, $360.00 ,BP01,FEDERICO,P002
3056,2/18/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,15.5, $360.00 ,BP01,FEDERICO-VICTOR,P002
3058,2/19/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,35, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3245,2/19/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,31, $360.00 ,BP02,PRAXEDIS,P002
3059,2/20/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,28, $360.00 ,BP01,FEDERICO,P002
3060,2/20/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,86, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3235,2/16/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO,P002
3054,2/17/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3055,2/17/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,10, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3241,2/17/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,46, $360.00 ,BP02,PRAXEDIS,P002
3057,2/18/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP01,FEDERICO-VICTOR,P002
3244,2/19/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP02,PRAXEDIS,P002
3246,2/20/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP02,PRAXEDIS,P002
3247,2/20/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,7, $360.00 ,BP02,PRAXEDIS,P002
3248,2/21/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,50, $360.00 ,BP02,PRAXEDIS,P002
3250,2/24/26,DECODI,PLANTA DE TRATAMIENTO,SERVICIO DE BOMBEO,5.5, $390.00 ,BP01,FEDERICO,P002
3061,2/22/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,54, $360.00 ,BP01,EZEQUIEL,P002
3065,2/26/26,GRUPO ARZER,GRADAS,SERVICIO DE BOMBEO,15, $390.00 ,BP02,PRAXEDIS,P002
3249,2/23/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,113, $360.00 ,BP02,PRAXEDIS,P002
3070,2/25/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,91, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3052,2/26/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,32, $360.00 ,BP02,PRAXEDIS,P002
3073,2/27/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,112, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3074,2/27/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3069,2/24/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,45.5, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3062,2/24/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,36, $360.00 ,BP02,PRAXEDIS,P002
3063,2/25/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP02,PRAXEDIS,P002
3064,2/25/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,48, $360.00 ,BP02,PRAXEDIS,P002
3071,2/26/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3072,2/26/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3066,2/28/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,46, $360.00 ,BP02,PRAXEDIS,P002
3075,2/28/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,15, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
3076,2/28/26,SEDENA,VIADUCTO,SERVICIO DE BOMBEO,42, $360.00 ,BP01,FEDERICO-EZEQUIEL,P002
